64,4
62.75,79.25,81.50,61.75
79.25,64.50,92.25,82.25
46.75,38.25,51.25,54.25
66.25,61.75,69.75,74.50
74.75,105.00,102.25,78.00
92.75,73.50,98.75,92.75
53.00,51.75,50.00,43.00
107.00,93.25,111.25,92.25
98.25,109.75,115.25,103.50
99.00,76.75,98.00,81.25
105.50,99.25,104.00,84.50
81.25,85.00,89.50,64.25
65.75,66.25,62.25,72.00
71.75,66.25,82.25,67.25
74.50,71.00,101.50,76.75
86.50,64.25,90.75,72.00
79.75,83.00,77.00,78.25
100.00,83.00,87.75,85.00
71.75,88.75,88.00,65.75
73.25,81.00,71.50,75.25
65.00,40.25,81.25,79.75
74.75,65.50,72.75,91.75
105.75,65.75,80.75,103.50
53.50,43.50,86.50,74.25
83.50,73.00,103.00,98.75
50.00,53.50,54.00,43.50
74.75,99.75,88.25,63.50
72.75,82.25,84.50,69.00
89.75,80.75,98.25,105.00
73.75,88.25,73.50,83.50
76.50,66.50,83.50,71.75
75.25,63.50,88.25,80.50
85.25,77.25,94.00,104.50
90.75,73.75,84.75,77.75
68.50,74.00,65.75,64.00
98.00,72.25,107.75,90.75
70.25,83.00,112.75,82.00
65.00,74.50,64.75,59.75
104.00,88.75,117.25,114.25
87.00,95.00,77.00,74.50
68.25,77.50,82.00,63.25
45.00,50.00,37.75,44.25
80.50,86.50,60.00,66.25
121.00,107.75,120.50,119.25
59.25,41.75,94.75,65.75
82.00,67.75,83.75,73.50
69.00,67.00,79.00,57.75
73.25,65.25,67.50,67.00
74.00,80.25,93.00,90.25
96.50,112.00,95.25,100.00
94.00,104.00,104.75,95.75
84.50,90.50,93.25,75.50
87.50,61.25,70.75,62.75
67.50,73.00,69.00,56.50
82.50,73.00,93.50,69.00
69.75,66.00,73.75,68.00
52.75,50.75,55.00,63.75
79.25,83.25,78.50,69.75
93.25,106.00,122.25,113.00
97.50,90.50,68.50,83.50
104.50,110.25,109.75,107.00
74.25,78.75,54.00,61.25
96.25,99.50,94.50,81.25
58.50,36.00,62.50,65.25
